gisjoin,state,county,year,slaves,total_population,slave_share
G0100010,Alabama,Autauga,1850,8730.0,15023.0,0.5811089662517473
G0100030,Alabama,Baldwin,1850,2218.0,4414.0,0.5024920706841867
G0100050,Alabama,Barbour,1850,10780.0,23632.0,0.4561611374407583
G0100055,Alabama,Benton,1850,3763.0,17163.0,0.2192507137446833
G0100070,Alabama,Bibb,1850,2861.0,9969.0,0.2869896679707092
G0100090,Alabama,Blount,1850,426.0,7367.0,0.0578254377629971
G0100130,Alabama,Butler,1850,3639.0,10836.0,0.3358250276854928
G0100170,Alabama,Chambers,1850,11158.0,23960.0,0.4656928213689482
G0100190,Alabama,Cherokee,1850,1691.0,13884.0,0.1217948717948717
G0100230,Alabama,Choctaw,1850,3769.0,8389.0,0.449278817499106
G0100250,Alabama,Clarke,1850,4876.0,9786.0,0.4982628244430819
G0100310,Alabama,Coffee,1850,557.0,5940.0,0.0937710437710437
G0100350,Alabama,Conecuh,1850,4394.0,9322.0,0.4713580776657369
G0100370,Alabama,Coosa,1850,4120.0,14543.0,0.2832978065048477
G0100390,Alabama,Covington,1850,480.0,3645.0,0.1316872427983539
G0100450,Alabama,Dale,1850,757.0,6382.0,0.1186148542776559
G0100470,Alabama,Dallas,1850,22258.0,29727.0,0.7487469303999731
G0100490,Alabama,DeKalb,1850,506.0,8245.0,0.0613705275924802
G0100570,Alabama,Fayette,1850,1221.0,9681.0,0.1261233343662844
G0100590,Alabama,Franklin,1850,8197.0,19610.0,0.4180010198878123
G0100630,Alabama,Greene,1850,22127.0,31441.0,0.7037626029706434
G0100655,Alabama,Hancock,1850,62.0,1542.0,0.040207522697795
G0100670,Alabama,Henry,1850,2242.0,9019.0,0.248586317773589
G0100710,Alabama,Jackson,1850,2292.0,14088.0,0.1626916524701873
G0100730,Alabama,Jefferson,1850,2267.0,8989.0,0.2521971298253421
G0100770,Alabama,Lauderdale,1850,6015.0,17172.0,0.3502795248078267
G0100790,Alabama,Lawrence,1850,6852.0,15258.0,0.4490758946126622
G0100830,Alabama,Limestone,1850,8063.0,16483.0,0.4891706606807013
G0100850,Alabama,Lowndes,1850,14649.0,21915.0,0.6684462696783026
G0100870,Alabama,Macon,1850,15596.0,26898.0,0.579820060971076
G0100890,Alabama,Madison,1850,14326.0,26427.0,0.5420970976652666
G0100910,Alabama,Marengo,1850,20693.0,27831.0,0.7435234091480722
G0100930,Alabama,Marion,1850,908.0,7833.0,0.1159198263755904
G0100950,Alabama,Marshall,1850,868.0,8846.0,0.0981234456251413
G0100970,Alabama,Mobile,1850,9356.0,27600.0,0.3389855072463768
G0100990,Alabama,Monroe,1850,6325.0,12013.0,0.5265129443103305
G0101010,Alabama,Montgomery,1850,19427.0,29711.0,0.6538655716737909
G0101030,Alabama,Morgan,1850,3437.0,10125.0,0.3394567901234568
G0101050,Alabama,Perry,1850,13917.0,22285.0,0.6245007852815795
G0101070,Alabama,Pickens,1850,10534.0,21512.0,0.4896801785050204
G0101090,Alabama,Pike,1850,3794.0,15920.0,0.2383165829145728
G0101110,Alabama,Randolph,1850,936.0,11581.0,0.0808220360936015
G0101130,Alabama,Russell,1850,11111.0,19548.0,0.5683957438101085
G0101150,Alabama,St Clair,1850,1321.0,6829.0,0.1934397422755894
G0101170,Alabama,Shelby,1850,2376.0,9536.0,0.2491610738255033
G0101190,Alabama,Sumter,1850,14831.0,22250.0,0.666561797752809
G0101210,Alabama,Talladega,1850,6971.0,18624.0,0.3743019759450172
G0101230,Alabama,Tallapoosa,1850,4073.0,15584.0,0.2613578028747433
G0101250,Alabama,Tuscaloosa,1850,7477.0,18056.0,0.4141005759858219
G0101270,Alabama,Walker,1850,266.0,5124.0,0.0519125683060109
G0101290,Alabama,Washington,1850,1496.0,2713.0,0.5514190932546996
G0101310,Alabama,Wilcox,1850,11835.0,17352.0,0.6820539419087137
G0500010,Arkansas,Arkansas,1850,1538.0,3245.0,0.473959938366718
G0500030,Arkansas,Ashley,1850,644.0,2058.0,0.3129251700680272
G0500070,Arkansas,Benton,1850,201.0,3710.0,0.0541778975741239
G0500110,Arkansas,Bradley,1850,1226.0,3829.0,0.3201880386523896
G0500150,Arkansas,Carroll,1850,213.0,4614.0,0.0461638491547464
G0500170,Arkansas,Chicot,1850,3984.0,5115.0,0.7788856304985338
G0500190,Arkansas,Clark,1850,950.0,4070.0,0.2334152334152334
G0500290,Arkansas,Conway,1850,240.0,3583.0,0.06698297516048
G0500330,Arkansas,Crawford,1850,933.0,7960.0,0.1172110552763819
G0500350,Arkansas,Crittenden,1850,801.0,2648.0,0.3024924471299093
G0500390,Arkansas,Dallas,1850,2542.0,6877.0,0.3696379235131598
G0500410,Arkansas,Desha,1850,1169.0,2911.0,0.4015802129852284
G0500430,Arkansas,Drew,1850,915.0,3276.0,0.2793040293040293
G0500470,Arkansas,Franklin,1850,472.0,3972.0,0.1188318227593152
G0500490,Arkansas,Fulton,1850,50.0,1819.0,0.0274876305662451
G0500550,Arkansas,Greene,1850,53.0,2593.0,0.0204396451986116
G0500570,Arkansas,Hempstead,1850,2460.0,7672.0,0.3206465067778936
G0500590,Arkansas,Hot Spring,1850,361.0,3609.0,0.1000277085065114
G0500630,Arkansas,Independence,1850,828.0,7767.0,0.1066048667439165
G0500650,Arkansas,Izard,1850,196.0,3213.0,0.0610021786492374
G0500670,Arkansas,Jackson,1850,563.0,3086.0,0.1824368114063512
G0500690,Arkansas,Jefferson,1850,2621.0,5834.0,0.4492629413781282
G0500710,Arkansas,Johnson,1850,731.0,5227.0,0.1398507748230342
G0500730,Arkansas,Lafayette,1850,3320.0,5220.0,0.6360153256704981
G0500750,Arkansas,Lawrence,1850,388.0,5274.0,0.0735684489950701
G0500870,Arkansas,Madison,1850,164.0,4823.0,0.0340037321169396
G0500890,Arkansas,Marion,1850,126.0,2308.0,0.0545927209705372
G0500930,Arkansas,Mississippi,1850,865.0,2368.0,0.3652871621621621
G0500950,Arkansas,Monroe,1850,395.0,2049.0,0.1927769643728648
G0500970,Arkansas,Montgomery,1850,66.0,1958.0,0.0337078651685393
G0501010,Arkansas,Newton,1850,47.0,1758.0,0.0267349260523321
G0501030,Arkansas,Ouachita,1850,3304.0,9591.0,0.3444896256907517
G0501050,Arkansas,Perry,1850,15.0,978.0,0.0153374233128834
G0501070,Arkansas,Phillips,1850,2591.0,6935.0,0.3736121124729632
G0501090,Arkansas,Pike,1850,110.0,1861.0,0.0591080064481461
G0501110,Arkansas,Poinsett,1850,279.0,2308.0,0.1208838821490467
G0501130,Arkansas,Polk,1850,67.0,1263.0,0.0530482977038796
G0501150,Arkansas,Pope,1850,479.0,4710.0,0.1016985138004246
G0501170,Arkansas,Prairie,1850,273.0,2097.0,0.1301859799713877
G0501190,Arkansas,Pulaski,1850,1119.0,5657.0,0.1978080254551882
G0501210,Arkansas,Randolph,1850,243.0,3275.0,0.0741984732824427
G0501230,Arkansas,St Francis,1850,707.0,4479.0,0.1578477338691672
G0501250,Arkansas,Saline,1850,503.0,3903.0,0.1288752241865232
G0501270,Arkansas,Scott,1850,146.0,3083.0,0.0473564709698345
G0501290,Arkansas,Searcy,1850,29.0,1979.0,0.0146538655886811
G0501330,Arkansas,Sevier,1850,1372.0,4240.0,0.3235849056603773
G0501390,Arkansas,Union,1850,4767.0,10298.0,0.4629054185278695
G0501410,Arkansas,Van Buren,1850,103.0,2864.0,0.0359636871508379
G0501430,Arkansas,Washington,1850,1199.0,9970.0,0.1202607823470411
G0501450,Arkansas,White,1850,308.0,2619.0,0.1176021382206949
G0501490,Arkansas,Yell,1850,424.0,3341.0,0.126908111343909
G0600070,California,Butte,1850,0.0,3574.0,0.0
G0600090,California,Calaveras,1850,0.0,16884.0,0.0
G0600110,California,Colusa,1850,0.0,115.0,0.0
G0600115,California,Colusa-Shasta-Trinity [multi-county reporting area],1850,,,
G0600130,California,Contra Costa,1850,,,
G0600170,California,El Dorado,1850,0.0,20057.0,0.0
G0600370,California,Los Angeles,1850,0.0,3530.0,0.0
G0600410,California,Marin,1850,0.0,323.0,0.0
G0600430,California,Mariposa,1850,0.0,4379.0,0.0
G0600450,California,Mendocino,1850,0.0,55.0,0.0
G0600530,California,Monterey,1850,0.0,1872.0,0.0
G0600550,California,Napa,1850,0.0,405.0,0.0
G0600670,California,Sacramento,1850,0.0,9087.0,0.0
G0600730,California,San Diego,1850,0.0,798.0,0.0
G0600750,California,San Francisco,1850,,,
G0600770,California,San Joaquin,1850,0.0,3647.0,0.0
G0600790,California,San Luis Obispo,1850,0.0,336.0,0.0
G0600830,California,Santa Barbara,1850,0.0,1185.0,0.0
G0600850,California,Santa Clara,1850,,,
G0600870,California,Santa Cruz,1850,0.0,643.0,0.0
G0600890,California,Shasta,1850,0.0,378.0,0.0
G0600950,California,Solano,1850,0.0,580.0,0.0
G0600970,California,Sonoma,1850,0.0,560.0,0.0
G0601010,California,Sutter,1850,0.0,3444.0,0.0
G0601050,California,Trinity,1850,0.0,1635.0,0.0
G0601090,California,Tuolumne,1850,0.0,8351.0,0.0
G0601130,California,Yolo,1850,0.0,1086.0,0.0
G0601150,California,Yuba,1850,0.0,9673.0,0.0
G0900010,Connecticut,Fairfield,1850,0.0,59775.0,0.0
G0900030,Connecticut,Hartford,1850,0.0,69967.0,0.0
G0900050,Connecticut,Litchfield,1850,0.0,45253.0,0.0
G0900070,Connecticut,Middlesex,1850,0.0,27216.0,0.0
G0900090,Connecticut,New Haven,1850,0.0,65588.0,0.0
G0900110,Connecticut,New London,1850,0.0,51821.0,0.0
G0900130,Connecticut,Tolland,1850,0.0,20091.0,0.0
